,week,dt,Cases,temp,feels_like,pressure,humidity,precipitation
74,2023-23,2023-06-04,27.0,303.03,311.4,1008.0,68.0,15.57
75,2023-24,2023-06-11,20.0,303.1,309.36,1008.0,71.0,2.0
76,2023-25,2023-06-18,12.0,304.23,310.42,1010.0,64.0,3.37
77,2023-26,2023-06-25,37.0,302.87,307.41,1008.0,66.0,6.5600000000000005
78,2023-27,2023-07-02,30.0,304.1,310.48,1010.0,69.0,0.0
79,2023-28,2023-07-09,54.0,302.69,308.11,1010.0,71.0,24.91
80,2023-29,2023-07-16,45.0,301.94,309.19,1007.0,77.0,2.26
81,2023-30,2023-07-23,47.0,299.51,308.05,1009.0,84.0,13.18
82,2023-31,2023-07-30,28.0,302.41,309.87,1010.0,72.0,18.26
83,2023-32,2023-08-06,40.0,304.2,311.91,1009.0,64.0,0.0
84,2023-33,2023-08-13,41.0,303.32,309.74,1009.0,69.0,6.75
85,2023-34,2023-08-20,42.0,301.89,308.75,1010.0,77.0,9.86
86,2023-35,2023-08-27,22.0,303.07,305.51,1006.0,68.0,4.99
87,2023-36,2023-09-03,31.0,301.77,309.46,1008.0,81.0,1.94
88,2023-37,2023-09-10,35.0,303.09,310.3,1009.0,70.0,4.76
89,2023-38,2023-09-17,22.0,303.66,310.75,1009.0,68.0,0.15
90,2023-39,2023-09-24,27.0,300.21,309.24,1009.0,86.0,2.09
91,2023-40,2023-10-01,44.0,301.58,309.8,1008.0,83.0,2.67
92,2023-41,2023-10-08,42.0,303.82,311.33,1010.0,68.0,2.99
93,2023-42,2023-10-15,52.0,302.83,310.63,1010.0,70.0,0.0
94,2023-43,2023-10-22,33.0,303.7,311.08,1011.0,65.0,6.66
95,2023-44,2023-10-29,34.0,303.74,311.06,1010.0,67.0,1.6600000000000001
96,2023-45,2023-11-05,36.0,304.07,311.3,1010.0,68.0,1.6
97,2023-46,2023-11-12,40.0,303.84,311.39,1011.0,67.0,0.0
98,2023-47,2023-11-19,38.0,299.63,308.0,1009.0,87.0,1.13
99,2023-48,2023-11-26,31.0,302.77,310.46,1009.0,69.0,0.0
100,2023-49,2023-12-03,31.0,302.86,310.44,1010.0,69.0,0.0
101,2023-50,2023-12-10,32.0,302.75,311.08,1009.0,67.0,0.0
102,2023-51,2023-12-17,21.0,302.4,310.34,1011.0,68.0,0.0
103,2023-52,2023-12-24,14.0,303.14,310.38,1013.0,66.0,0.0
104,2024-1,2024-01-01,17.0,303.74,310.93,1010.0,68.0,0.0
105,2024-2,2024-01-08,18.0,303.47,311.1,1011.0,64.0,0.0
106,2024-3,2024-01-15,22.0,301.85,307.5,1011.0,68.0,0.0
107,2024-4,2024-01-22,18.0,303.34,309.16,1011.0,62.0,0.0
108,2024-5,2024-01-29,14.0,301.86,304.9,1015.0,61.0,0.0
